"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"03/02/2025","228,01","229,99","231,83","225,70","73,06M","-3,39%"
"31/01/2025","236,00","247,19","247,19","233,44","101,08M","-0,67%"
"30/01/2025","237,59","238,66","240,79","237,21","55,66M","-0,74%"
"29/01/2025","239,36","234,12","239,85","234,01","45,49M","0,46%"
"28/01/2025","238,26","230,85","240,19","230,81","75,71M","3,65%"
"27/01/2025","229,86","224,02","232,15","223,98","94,86M","3,18%"
"24/01/2025","222,78","224,78","225,63","221,41","54,70M","-0,39%"
"23/01/2025","223,66","224,74","227,03","222,30","60,23M","-0,08%"
"22/01/2025","223,83","219,79","224,12","219,79","64,13M","0,53%"
"21/01/2025","222,64","224,00","224,42","219,38","98,07M","-3,19%"
"17/01/2025","229,98","232,12","232,29","228,48","68,49M","0,75%"
"16/01/2025","228,26","237,35","238,01","228,03","71,76M","-4,04%"
"15/01/2025","237,87","234,63","238,96","234,43","39,83M","1,97%"
"14/01/2025","233,28","234,75","236,12","232,47","39,44M","-0,48%"
"13/01/2025","234,40","233,53","234,67","229,72","49,63M","-1,03%"
"10/01/2025","236,85","240,01","240,16","233,00","61,71M","-2,41%"
"08/01/2025","242,70","241,92","243,71","240,05","37,63M","0,20%"
"07/01/2025","242,21","242,98","245,55","241,35","40,86M","-1,14%"
"06/01/2025","245,00","244,31","247,33","243,20","45,05M","0,67%"
"03/01/2025","243,36","243,36","244,18","241,89","40,24M","-0,20%"
"02/01/2025","243,85","248,93","249,10","241,82","55,74M","-2,62%"
"31/12/2024","250,42","252,44","253,28","249,43","39,48M","-0,71%"
"30/12/2024","252,20","252,23","253,50","250,75","35,56M","-1,33%"
"27/12/2024","255,59","257,83","258,70","253,06","42,36M","-1,32%"
"26/12/2024","259,02","258,19","260,10","257,63","27,26M","0,32%"
"24/12/2024","258,20","255,49","258,21","255,29","23,23M","1,15%"
"23/12/2024","255,27","254,77","255,65","253,45","40,86M","0,31%"
"20/12/2024","254,49","248,04","255,00","245,69","147,50M","1,88%"
"19/12/2024","249,79","247,50","252,00","247,09","60,88M","0,70%"
