"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"18/12/2025","745,40","738,00","745,40","738,00","14,04K","1,00%"
"17/12/2025","738,00","727,00","739,90","727,00","44,24K","1,65%"
"16/12/2025","726,00","726,00","730,90","726,00","33,41K","0,07%"
"15/12/2025","725,50","724,00","731,00","724,00","26,66K","0,76%"
"12/12/2025","720,00","717,50","724,00","717,50","37,28K","-0,54%"
"11/12/2025","723,90","720,00","723,90","720,00","9,23K","0,56%"
"10/12/2025","719,90","723,00","723,00","715,00","5,92K","-0,01%"
"09/12/2025","720,00","720,10","723,00","720,00","12,31K","0,01%"
"08/12/2025","719,90","730,00","730,00","719,90","20,22K","-0,70%"
"05/12/2025","725,00","716,10","725,00","716,10","57,82K","0,90%"
"04/12/2025","718,50","720,00","724,90","717,50","6,50K","-0,24%"
"03/12/2025","720,20","717,00","725,00","717,00","44,05K","0,00%"
"02/12/2025","720,20","720,10","725,00","715,50","28,84K","0,03%"
"01/12/2025","720,00","720,10","735,00","720,00","16,41K","-1,57%"
"28/11/2025","731,50","728,10","734,00","728,10","26,67K","-0,34%"
"27/11/2025","734,00","725,00","735,00","725,00","29,81K","0,55%"
"26/11/2025","730,00","725,00","730,00","725,00","43,49K","0,69%"
"25/11/2025","725,00","729,90","730,00","725,00","36,99K","0,69%"
"24/11/2025","720,00","715,00","728,00","702,50","31,68K","0,98%"
"21/11/2025","713,00","714,00","715,00","712,00","75,67K","0,28%"
"20/11/2025","711,00","720,00","720,00","710,00","153,83K","-1,24%"
"19/11/2025","719,90","730,00","730,00","719,10","10,30K","-1,22%"
"17/11/2025","728,80","749,90","749,90","728,80","24,16K","-0,98%"
"14/11/2025","736,00","741,00","744,00","734,10","38,34K","-0,80%"
"13/11/2025","741,90","745,00","745,00","731,10","13,56K","1,49%"
"12/11/2025","731,00","735,00","757,90","731,00","30,21K","0,00%"
"11/11/2025","731,00","747,70","759,90","731,00","39,98K","-1,88%"
"10/11/2025","745,00","760,00","765,00","745,00","34,77K","-2,74%"
"07/11/2025","766,00","760,00","780,00","760,00","37,78K","-0,13%"
"05/11/2025","767,00","770,00","777,00","767,00","11,56K","-0,39%"
"04/11/2025","770,00","780,00","780,00","770,00","18,87K","-1,28%"
"03/11/2025","780,00","790,00","804,00","780,00","97,11K","0,39%"
"31/10/2025","777,00","768,00","784,80","768,00","47,69K","0,00%"
"30/10/2025","777,00","772,00","778,00","772,00","41,31K","0,00%"
"29/10/2025","777,00","775,10","777,00","772,10","90,29K","0,00%"
